Entity,Code,Year,all years
Hong Kong,HKG,2023,7442738
Hungary,HUN,2023,9686465
Iceland,ISL,2023,387559
India,IND,2023,1438069597
Indonesia,IDN,2023,281190068
Iran,IRN,2023,90608708
Iraq,IRQ,2023,45074055
Ireland,IRL,2023,5196629
Isle of Man,IMN,2023,84182
Israel,ISR,2023,9256311
Italy,ITA,2023,59499452
Jamaica,JAM,2023,2839785
Japan,JPN,2023,124370947
Jersey,JEY,2023,103680
Jordan,JOR,2023,11439220
Kazakhstan,KAZ,2023,20330109
Kenya,KEN,2023,55339007
Kiribati,KIR,2023,132540
Kosovo,OWID_KOS,2023,1700039
Kuwait,KWT,2023,4838781
Kyrgyzstan,KGZ,2023,7073523
Land-locked developing countries (LLDC),,2023,579184956
Laos,LAO,2023,7665001
Latin America and the Caribbean (UN),UN_LAC,2023,658891516
Latvia,LVA,2023,1882399
Least developed countries,,2023,1161055548
Lebanon,LBN,2023,5773494
Lesotho,LSO,2023,2311476
Less developed regions,,2023,6807234401
"Less developed regions, excluding China",,2023,5353175688
"Less developed regions, excluding least developed countries",,2023,5646178859
Liberia,LBR,2023,5493035
Libya,LBY,2023,7305659
Liechtenstein,LIE,2023,39622
Lithuania,LTU,2023,2854104
Low-income countries,OWID_LIC,2023,736466395
Lower-middle-income countries,OWID_LMC,2023,3253459082
Luxembourg,LUX,2023,665101
Macao,MAC,2023,713916
Madagascar,MDG,2023,31195937
Malawi,MWI,2023,21104480
Malaysia,MYS,2023,35126295
Maldives,MDV,2023,526009
Mali,MLI,2023,23769130
Malta,MLT,2023,532964
Marshall Islands,MHL,2023,38849
Martinique,MTQ,2023,346008
Mauritania,MRT,2023,5022442
Mauritius,MUS,2023,1273591
Mayotte,MYT,2023,316028
Mexico,MEX,2023,129739761
Micronesia (country),FSM,2023,112646
Moldova,MDA,2023,3067072
Monaco,MCO,2023,38979
Mongolia,MNG,2023,3431938
Montenegro,MNE,2023,633553
Montserrat,MSR,2023,4440
More developed regions,,2023,1284500519
Morocco,MAR,2023,37712516
Mozambique,MOZ,2023,33635163
Myanmar,MMR,2023,54133800
Namibia,NAM,2023,2963102
Nauru,NRU,2023,11900
Nepal,NPL,2023,29694614
Netherlands,NLD,2023,18092526
New Caledonia,NCL,2023,289879
New Zealand,NZL,2023,5172837
Nicaragua,NIC,2023,6823619
Niger,NER,2023,26159863
Nigeria,NGA,2023,227882949
Niue,NIU,2023,1841
North America,OWID_NAM,2023,608770547
North Korea,PRK,2023,26418196
North Macedonia,MKD,2023,1831800
Northern America (UN),UN_NAM,2023,382902739
Northern Mariana Islands,MNP,2023,45166
Norway,NOR,2023,5519167
Oceania,OWID_OCE,2023,45563135
Oceania (UN),UN_OCE,2023,45562792
Oman,OMN,2023,5049267
Pakistan,PAK,2023,247504505
Palau,PLW,2023,17751
Palestine,PSE,2023,5409201
Panama,PAN,2023,4458758
Papua New Guinea,PNG,2023,10389638
Paraguay,PRY,2023,6844150
Peru,PER,2023,33845616
Philippines,PHL,2023,114891199
Poland,POL,2023,38762847
Portugal,PRT,2023,10430735
Puerto Rico,PRI,2023,3242022
Qatar,QAT,2023,2979086
Reunion,REU,2023,874883
Romania,ROU,2023,19118482
Russia,RUS,2023,145440502
Rwanda,RWA,2023,13954473
Saint Barthelemy,BLM,2023,11112
Saint Helena,SHN,2023,5316
Saint Kitts and Nevis,KNA,2023,46783
Saint Lucia,LCA,2023,179291
Saint Martin (French part),MAF,2023,27545
Saint Pierre and Miquelon,SPM,2023,5707
Saint Vincent and the Grenadines,VCT,2023,101331
Samoa,WSM,2023,216673
San Marino,SMR,2023,33761
Sao Tome and Principe,STP,2023,230882
Saudi Arabia,SAU,2023,33264289
Senegal,SEN,2023,18077573
Serbia,SRB,2023,6773204
Seychelles,SYC,2023,127961
Sierra Leone,SLE,2023,8460523
Singapore,SGP,2023,5789092
Sint Maarten (Dutch part),SXM,2023,42775
Slovakia,SVK,2023,5518057
Slovenia,SVN,2023,2118394
Small island developing states (SIDS),,2023,72894712
Solomon Islands,SLB,2023,800014
Somalia,SOM,2023,18358622
South Africa,ZAF,2023,63212386
South America,OWID_SAM,2023,433024223
South Korea,KOR,2023,51748744
South Sudan,SSD,2023,11483370
Spain,ESP,2023,47911583
Sri Lanka,LKA,2023,22971615
Sudan,SDN,2023,50042800
Suriname,SUR,2023,628892
Sweden,SWE,2023,10551493
Switzerland,CHE,2023,8870564
Syria,SYR,2023,23594623
Taiwan,TWN,2023,23317145
Tajikistan,TJK,2023,10389807
Tanzania,TZA,2023,66617607
Thailand,THA,2023,71702436
Togo,TGO,2023,8223853
Tokelau,TKL,2023,2424
Tonga,TON,2023,104613
Trinidad and Tobago,TTO,2023,1502938
Tunisia,TUN,2023,12200434
Turkey,TUR,2023,87270502
Turkmenistan,TKM,2023,7364437
Turks and Caicos Islands,TCA,2023,46221
Tuvalu,TUV,2023,9837
Uganda,UGA,2023,48656606
Ukraine,UKR,2023,37732833
United Arab Emirates,ARE,2023,10642089
United Kingdom,GBR,2023,68682965
United States,USA,2023,343477330
United States Virgin Islands,VIR,2023,85712
Upper-middle-income countries,OWID_UMC,2023,2811308942
Uruguay,URY,2023,3388083
Uzbekistan,UZB,2023,35652311
Vanuatu,VUT,2023,320422
Vatican,VAT,2023,501
Venezuela,VEN,2023,28300861
Vietnam,VNM,2023,100352189
Wallis and Futuna,WLF,2023,11394
Western Sahara,ESH,2023,579734
World,OWID_WRL,2023,8091734933
Yemen,YEM,2023,39390800
Zambia,ZMB,2023,20723967
Zimbabwe,ZWE,2023,16340829
